paper_id,title,authors,year,venue,doi,source_url,rl_algorithms,routing_meaning,study_type,metrics,relevance,novelty,reproducibility,evidence_scope,notion_url
12,7. An Adaptive MPR Selection Routing Algorithm for Flying Ad Hoc Networks Based on Deep Reinforcement Learning,Wenbin Jiang; Yuwang Yang; Bo Song; Yaqi Ke,2025,"2025 5th International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)",https://doi.org/10.1109/CEI66465.2025.11398680,https://drive.google.com/file/d/19YuZpYfrOulLFyDmOZ1zG1D4QRNY9lEt/view?usp=drivesdk,"[""Q-learning"",""PPO""]","[""Cluster routing""]",,"[""Throughput"",""Routing Overhead"",""Energy""]",4,2,,전문,https://app.notion.com/3c7ad79990e681d399f2cfe8f0239539
13,8. DRL-AdCAR: Adaptive Coding-Aware Routing With Maximum Coding Opportunities and High-Quality via Deep Reinforcement Learning in FANET,Bo Song; Lei Xu; Ping Wang; Xiulin Qiu; Yaqi Ke; Junjie Gu; Yuwang Yang; Anhong Chen; Fan Zhang,2025,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/TVT.2024.3461161,https://drive.google.com/file/d/15wPd4Ke2hluAiNzn7RDEmQFNb_hrOH2-/view?usp=drivesdk,"[""DDPG""]","[""Packet routing""]",,"[""PDR"",""Delay"",""Throughput""]",5,4,,전문,https://app.notion.com/3c7ad79990e681639626f9ec833e2b70
14,Intelligent Maintenance and Routing Decision Making for UAV Clusters in Harsh Environments,Sujunjie Sun; Cong Cao; Yan Lyu; Xueyong Xu; Renzhi Huang; Yuhang Xu; Shenquan Tang; Chenchen Fu; Weiwei Wu,2026,"Drones, 10(6), 455",https://doi.org/10.3390/drones10060455,https://www.mdpi.com/2504-446X/10/6/455,"[""DQN""]","[""Packet routing"",""Cluster routing"",""Joint optimization""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Routing Overhead""]",100,4,보통,전문,https://app.notion.com/3c7ad79990e681728f38ec98a825cb0e
15,Multipath Routing for Multi-Hop UAV Networks,Zhenyu Zhao; Tiankui Zhang; Xiaoxia Xu; Junjie Li; Yuanwei Liu; Wenjuan Xing,2026,arXiv cs.MA (submitted to IEEE Transactions on Communications),https://doi.org/10.48550/arXiv.2601.10299,https://arxiv.org/abs/2601.10299,"[""PPO"",""MARL""]","[""Packet routing""]",Simulation,"[""PDR"",""Packet Loss"",""Delay""]",100,4,보통,전문,https://app.notion.com/3c8ad79990e681878966d5289b7fd4ff
16,Explainable multi agent reinforcement learning framework for secure and adaptive communication in UAV swarm based fanets,Hend Khalid Alkahtani; Ybytayeva Galiya; Bekarystankyzy Akbayan; Ayman Qahmash,2026,"Scientific Reports 16, Article 11830",https://doi.org/10.1038/s41598-026-39366-x,https://www.nature.com/articles/s41598-026-39366-x,"[""DDPG"",""MARL""]","[""Packet routing"",""Cluster routing""]",Simulation,"[""Energy"",""PDR"",""Delay""]",100,4,보통,전문,https://app.notion.com/3c9ad79990e681a79a9ddaab0c00c6c4
17,Traffic-Adaptive Per-Hop Multipath Routing in Multi-Hop UAV Networks,Zhenyu Zhao; Tiankui Zhang; Xiaoxia Xu; Yuanpeng Zheng; Junjie Li; Wenjuan Xing,2026,arXiv preprint arXiv:2608.25383,https://doi.org/10.48550/arXiv.2608.25383,https://arxiv.org/abs/2608.25383,"[""PPO"",""MARL""]","[""Packet routing""]",Simulation,"[""PDR"",""Packet Loss"",""Delay""]",100,5,높음,전문,https://app.notion.com/3caad79990e68174ad2ed9abe277f6bd
18,9. RoutePPO: eBPF-Based Proximal Policy Optimization for Adaptive Routing in UAV Swarm Networks,Nazım Cürmen; Feyza Yıldırım Okay; Suat Özdemir,2026,"2026 International Conference on Smart Applications, Communications and Networking (SmartNets)",https://doi.org/10.1109/SMARTNETS69662.2026.11604730,https://drive.google.com/file/d/1U4Ee3b-CJQxwcXCU58oyq4tozxj5Phxk/view?usp=drivesdk,"[""PPO""]","[""Packet routing""]",Testbed,"[""Packet Loss"",""Delay"",""Throughput"",""Routing Overhead""]",98,4,높음,전문,https://app.notion.com/3cbad79990e68170b83fd5fae294030a
19,10. Spatiotemporal-Aware Resilient Routing Algorithm Based on Graph Attention Double DQN,Jie Zhang; Hao Huang; Chao Shi; Yang Zhang; Bingyang Fan; Dapeng Li,2025,2025 17th International Conference on Wireless Communications and Signal Processing (WCSP),https://doi.org/10.1109/WCSP68525.2025.1010249,https://drive.google.com/file/d/1TKjV8I-cLbtabZ2Kv2wSVhwABIo7znL0/view?usp=drivesdk,"[""Double DQN"",""MARL""]","[""Packet routing""]",Simulation,"[""PDR"",""Delay"",""Throughput"",""Packet Loss""]",100,4,보통,전문,https://app.notion.com/3cbad79990e681be8be2c9ef0433ccdd
20,11. Trusted Routing for Blockchain-Empowered UAV Networks via Multi-Agent Deep Reinforcement Learning,Ziye Jia; Sijie He; Qiuming Zhu; Wei Wang; Qihui Wu; Zhu Han,2025,IEEE Transactions on Communications,https://doi.org/10.1109/TCOMM.2025.3597655,https://drive.google.com/file/d/1O53xoT4OiZyhNaGLhTY-6qNaeA2cH2zu/view?usp=drivesdk,"[""Double DQN"",""MARL""]","[""Packet routing""]",Simulation,"[""Delay"",""Throughput"",""Energy"",""Routing Overhead""]",96,4,높음,전문,https://app.notion.com/3cbad79990e681b58966e151171b538a
21,12. A Large-Scale UAV Swarms Routing Approach With Deep Reinforcement Learning Leveraging Intelligent Endogenous Network,Xinting Zhang; Lei Lei; Gaoqin Shen; Jianrui Fan; Yidan Pan; Pan Cao,2026,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/TVT.2026.3672174,https://drive.google.com/file/d/1bjmjdutUqvkaMcDVgx_meCwl3v2xrVLj/view?usp=drivesdk,"[""DDPG""]","[""Packet routing""]",Simulation,"[""PDR"",""Packet Loss"",""Delay"",""Routing Overhead""]",100,4,보통,전문,https://app.notion.com/3cbad79990e68175a20ae2049f061fa4
22,13. KG-DDRL: A Joint Routing and Power Control Algorithm for UAV Ad Hoc Networks,Xinyang Zhang; Yu Zhou; Xianghui Cao,2026,2026 38th Chinese Control and Decision Conference (CCDC),https://doi.org/10.1109/CCDC69976.2026.11560534,https://drive.google.com/file/d/1npGKLrzPN29XVNPlHqwsc3-4_d-khHsW/view?usp=drivesdk,"[""DQN""]","[""Joint optimization""]",Simulation,"[""Throughput""]",100,5,보통,전문,https://app.notion.com/3cbad79990e681bea59ac607ef1e8627
23,HCPMR: A Hierarchically Coordinated Proximal Multi-Hop Routing Scheme for FANETs in Mission-Critical Environments,Juhi Agrawal; Anil Kumar; Muhammad Morshed Alam; Muhammad Yeasir Arafat,2026,"IEEE Access, Vol. 14, pp. 36505–36522",https://doi.org/10.1109/ACCESS.2026.3670477,https://ieeexplore.ieee.org/document/11421294,"[""PPO"",""MARL""]","[""Packet routing"",""Cluster routing""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Routing Overhead""]",100,4,보통,전문,https://app.notion.com/3cbad79990e681dda9dbc01402974c7e
24,14. Distributed Routing Optimization Algorithm for FANET Based on Multiagent Reinforcement Learning,Yaqi Ke; Kai Huang; Xiulin Qiu; Bo Song; Lei Xu; Jun Yin; Yuwang Yang,2024,"IEEE Sensors Journal, vol. 24, no. 15",https://doi.org/10.1109/JSEN.2024.3415127,https://drive.google.com/file/d/1ei_8oAshWdpaUPT33xIiifLn7j45_2bE/view?usp=drivesdk,"[""DDPG"",""MARL""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Throughput"",""Routing Overhead""]",97,4,보통,전문,https://app.notion.com/3ccad79990e681dcb50fcfdc0a71e3d6
25,15. Priority-Aware Packet Routing Algorithm with Adaptive Reward Tuning for UAV Swarm Network,Haisen Yin; Zhi Zhang; Yue Meng,2025,"2025 IEEE PIMRC, Workshop on Integrated Sensing, AI, and Communication (ISAAC)",https://doi.org/10.1109/PIMRC62392.2025.11274714,https://drive.google.com/file/d/1j4kzw27ch7BJL_y4eS21ISkCjJfdgPzP/view?usp=drivesdk,"[""DDPG"",""MARL""]","[""Packet routing""]",Simulation,"[""PDR"",""Delay""]",100,4,낮음,전문,https://app.notion.com/3ccad79990e681f590f1ddfbe5374b55
26,16. Reinforcement Learning Based Energy-Efficient Fast Routing for FANETs,Jieling Li; Liang Xiao; Xuchen Qi; Zefang Lv; Qiaoxin Chen; Yong-Jin Liu,2024,"IEEE Transactions on Communications, vol. 72, no. 11",https://doi.org/10.1109/TCOMM.2024.3409561,https://drive.google.com/file/d/1BYM_iBysc4LmqmOZ4XoZUFVsDAz0N8Th/view?usp=drivesdk,"[""Q-learning"",""Double DQN""]","[""Packet routing"",""Joint optimization""]",Testbed,"[""Energy"",""Delay""]",100,5,높음,전문,https://app.notion.com/3ccad79990e6811ba6d1cca21b43db45
27,17. UAV-Assisted Geo-Edge Routing Protocol for Internet of Vehicles Based on Reinforcement Learning Strategy,Jie Zhang; De-Gan Zhang; Xue-Bai Chen; Ting Zhang; Shuo Wang; Hong-Lin E,2026,"IEEE Transactions on Vehicular Technology, vol. 75, no. 7",https://doi.org/10.1109/TVT.2026.3653679,https://drive.google.com/file/d/1w_N4bP27RASpPz2_pkrxl4QsO7TzBjiV/view?usp=drivesdk,"[""Double DQN""]","[""Packet routing""]",Simulation,"[""PDR"",""Delay"",""Routing Overhead""]",84,4,낮음,전문,https://app.notion.com/3ccad79990e68120bd56c90474ba7d07
28,18. Joint Optimization of Routing and Power Control in UAV Networks Via Graph Reinforcement Learning,Chenchen Wang; Yun Liu; Ruiliang Song; Xiaoyi Yu; Xijun Wang; Xiang Chen; Jing Liu,2025,2025 17th International Conference on Wireless Communications and Signal Processing (WCSP),https://doi.org/10.1109/WCSP68525.2025.1010551,https://drive.google.com/file/d/1VyAqiKMhOMO6vz1128wAic5xT6RUbLCw/view?usp=drivesdk,"[""DQN""]","[""Packet routing"",""Joint optimization""]",Simulation,"[""Energy"",""Throughput""]",100,3,낮음,전문,https://app.notion.com/3ccad79990e681e980d3cf64f34084f4
29,SDN-Blockchain Based Security Routing for UAV Communication via Reinforcement Learning,Yulu Han; Ziye Jia; Jingjing Zhao; Lijun He; Yao Wu; Qihui Wu,2026,arXiv:2601.12774v1 [cs.NI],https://doi.org/10.48550/arXiv.2601.12774,https://arxiv.org/abs/2601.12774,"[""PPO""]","[""Packet routing""]",Simulation,"[""Energy"",""Delay""]",100,4,보통,전문,https://app.notion.com/3ccad79990e6813d81f4ebbd52c76473
30,19. Reinforcement Learning Based Anti-Jamming FANET Routing with QoS Guarantee,Jieling Li; Chuxuan Wang; Liang Xiao; Zefang Lv; Pengli Zhang; Helin Yang,2025,IEEE ICC 2025,https://doi.org/10.1109/ICC52391.2025.11162120,https://drive.google.com/file/d/10j9izgIAw-TdNephCUviQMgqqprughc6/view?usp=drivesdk,"[""Q-learning""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Energy"",""Throughput"",""Routing Overhead""]",92,3,낮음,전문,https://app.notion.com/3cdad79990e681b79368f8d92b16db2e
31,20. A Clustering Routing Protocol for UAV Swarms Based on Multi-Agent Reinforcement Learning,Miao Li; Xiangge Meng; Heng Dong; Xianming Zhao; Zhuoming Li,2025,IEEE VTC2025-Fall,https://doi.org/10.1109/VTC2025-Fall65116.2025.11310407,https://drive.google.com/file/d/1TbtPAo8z2fVb2xf22y-Juh6yZgmIIDtf/view?usp=drivesdk,"[""DQN"",""Double DQN"",""MARL""]","[""Cluster routing""]",Simulation,"[""Energy"",""PDR"",""Throughput"",""Network Lifetime""]",82,3,낮음,전문,https://app.notion.com/3cdad79990e6815d8caaccbe4a6c2cb0
32,21. An Improved Q-learning-Based Routing Protocol for UAV Ad Hoc Networks,Heng Xu; Changjie Wu; Jingping Xie; Junliang Guo; Rui Sun,2026,IEEE ISCCN 2026,https://doi.org/10.1109/ISCCN69074.2026.11564434,https://drive.google.com/file/d/1JTm5865jnxq-ydN0oLnmAE2x6tQQM0hk/view?usp=drivesdk,"[""Q-learning""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay""]",100,2,낮음,전문,https://app.notion.com/3cdad79990e681c7b8d5f2d8513ca54d
33,22. FANETs in Low-Altitude Space: A Q-Learning Enabled Routing Algorithm with Visual Information,Haoran Shen; Jingzheng Chong; Zhihua Yang,2025,"Journal of Communications and Information Networks, Vol. 10, No. 2",,https://drive.google.com/file/d/1gCBIyR3QM0wXkElATjK2zGKGMr9MDdCz/view?usp=drivesdk,"[""Q-learning""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Routing Overhead""]",97,3,낮음,전문,https://app.notion.com/3cdad79990e681e7ac5cebf0248a2886
34,23. SARRA: A Secure Adaptive and Resilient Routing Framework of FANETs with Hybrid Blockchain and Deep Q-Network Intelligence,S. Gowthami; P. Sakthivel; T. Kalavathi Devi; Vivek Pandiya Raj,2026,IEEE ICMCSI 2026,https://doi.org/10.1109/ICMCSI67283.2026.11412568,https://drive.google.com/file/d/18q-6D1MktOU1FZiK_Z8d4A-OZGxFbi3C/view?usp=drivesdk,"[""Q-learning"",""DQN""]","[""Packet routing"",""Cluster routing""]",Simulation,"[""Energy"",""PDR"",""Packet Loss"",""Delay"",""Throughput"",""Network Lifetime"",""Routing Overhead""]",95,2,매우 낮음,전문,https://app.notion.com/3cdad79990e6818e8eb0e5a5331e9dad
35,Topology-Aware Resilient Routing Protocol for FANETs: An Adaptive Q-Learning Approach,Yanpeng Cui; Qixun Zhang; Zhiyong Feng; Zhiqing Wei; Ce Shi; Heng Yang,2022,"IEEE Internet of Things Journal, Vol. 9, No. 19, pp. 18632–18650",https://doi.org/10.1109/JIOT.2022.3162849,https://ieeexplore.ieee.org/document/9744096/,"[""Q-learning""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Routing Overhead""]",95,4,보통,전문,https://app.notion.com/3cdad79990e681f8af32f48c75d65788
36,QLR-FANET: A Q-learning and rate control-based routing protocol for flying ad hoc network,Mai Cuong Tho; Nguyen Thi Huong Ly; Le Huu Binh; Tu T. Vo,2025,"ETRI Journal, Vol. 47, No. 6, pp. 1015–1027",https://doi.org/10.4218/etrij.2024-0298,https://onlinelibrary.wiley.com/doi/full/10.4218/etrij.2024-0298,"[""Q-learning""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""PDR"",""Delay"",""Throughput""]",100,4,보통,전문,https://app.notion.com/3cead79990e68124b48cf4f3fb44ce0d
37,24. Improved Q-Learning-Based Multi-Hop Routing for UAV-Assisted Communication,N. P. Sharvari; Dibakar Das; Jyotsna Bapat; Debabrata Das,2025,"IEEE Transactions on Network and Service Management, Vol. 22, No. 2",https://doi.org/10.1109/TNSM.2024.3522153,https://drive.google.com/file/d/1I6bOO1g6zrbw8-diYEu2S09H8JCnxecG/view?usp=drivesdk,"[""Q-learning"",""기타""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Throughput"",""Routing Overhead""]",100,4,보통,전문,https://app.notion.com/3d0ad79990e6818c96e3dff5999fb7ca
38,25. A Dual-Layer Deep Reinforcement Learning Routing Approach for Integrated UAV and Satellite IoT Networks,Fei Zheng; Juzhong Wei; Shichao Li; Peng Yu; Shaoyong Guo; Jilong Zhao; Yunhai Huang,2026,"IEEE Internet of Things Journal, Vol. 13, No. 3",https://doi.org/10.1109/JIOT.2025.3602147,https://drive.google.com/file/d/1MA1UOxWCinxaECzNvIaq87S_0fC8vjXj/view?usp=drivesdk,"[""PPO""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Energy"",""Delay""]",86,4,보통,전문,https://app.notion.com/3d0ad79990e681beaa7ee1a0621b4be6
39,"26. Joint Robust Routing, Scheduling, and Load Balancing in Deterministic UAV Rescue Networks: A DFS-PPO Method",Gang Chen; Guofeng Zhao; Zhenzhen Han; Chuan Xu; Shui Yu,2026,"IEEE Internet of Things Journal, Vol. 13, No. 14",https://doi.org/10.1109/JIOT.2026.3687225,https://drive.google.com/file/d/1dOiGVZlX_wnWzu9QHVWLh6xomJXo10ZL/view?usp=drivesdk,"[""PPO""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Delay"",""Throughput""]",98,4,보통,전문,https://app.notion.com/3d0ad79990e681bf8c07cc73161ea8db
40,27. A Q-Learning and Fuzzy Logic Based Routing Protocol for UAV Networks,Sijin Huang; Jie Tang; Zihao Zhou; Guangguang Yang; Maksim V. Davydov; Kai-Kit Wong,2024,2024 16th International Conference on Wireless Communications and Signal Processing (WCSP),https://doi.org/10.1109/WCSP62071.2024.10826772,https://drive.google.com/file/d/1ZsqQDMNp4No0s8wTTCLIetIRjuSSyPc9/view?usp=drivesdk,"[""Q-learning""]","[""Packet routing""]",Simulation,"[""PDR"",""Delay"",""Routing Overhead""]",100,3,낮음,전문,https://app.notion.com/3d0ad79990e681c4b1d9ee65cd0952a4
41,28. Adaptive Routing in MANETs using Hydro-AI: A Hybrid Deep Reinforcement Learning-Based Approach,Shiva Shankar Ram R V,2025,2025 3rd International Conference on Sustainable Computing and Smart Systems (ICSCSS),https://doi.org/10.1109/ICSCSS64956.2025.11500955,https://drive.google.com/file/d/1uItdtp-_mbGFmOoZLLupLvRQK9g38YdQ/view?usp=drivesdk,"[""DQN""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay""]",90,2,매우 낮음,전문,https://app.notion.com/3d0ad79990e681a4a069d5506d87222f
42,29. Adversarial Reinforcement Learning with GCN-Transformer for Cross-Layer Routing in Space-Air-Ground Integrated Networks,Jinling Liu,2026,2026 China Aerospace Information Technology Conference (CAIT),https://doi.org/10.1109/CAIT70489.2026.11553865,https://drive.google.com/file/d/1eotAlL8WCt15B47U2mQmWIaycNUKcytp/view?usp=drivesdk,"[""PPO"",""기타""]","[""Packet routing"",""Joint optimization""]",Simulation,"[""Delay""]",86,3,매우 낮음,전문,https://app.notion.com/3d1ad79990e681a48e69e1bf4ceb548f
43,30. A Resilient Packet Routing Approach Based on Deep Reinforcement Learning,Yongjie Pang; Fangying Dong; Ruolan Huang; Qi He; Zhiping Shi; Zhi Chen,2024,2024 IEEE 24th International Conference on Communication Technology (ICCT),https://doi.org/10.1109/ICCT62411.2024.10946448,https://drive.google.com/file/d/1WytekgMYKwVUVMn5_wGZmK0woIe-yFeN/view?usp=drivesdk,"[""DQN"",""Double DQN"",""Dueling DQN"",""MARL""]","[""Packet routing""]",Simulation,"[""Packet Loss"",""Delay""]",100,3,낮음,전문,https://app.notion.com/3d1ad79990e681e48d38f566ff8b5e0b
44,31. Congestion-Aware UAV Deployment with Q-Learning Based Routing for VANETs,Prangya Priyadarshini; Lopamudra Hota; Arun Kumar; Peter Han Joo Chong,2025,2025 IEEE 102nd Vehicular Technology Conference (VTC2025-Fall),https://doi.org/10.1109/VTC2025-Fall65116.2025.11310733,https://drive.google.com/file/d/12pjGc3C0G3QmoeZQyqV3wvWAGuYr4nq7/view?usp=drivesdk,"[""Q-learning""]","[""Flight path"",""Packet routing"",""Joint optimization""]",Simulation,"[""PDR"",""Packet Loss"",""Delay""]",86,3,낮음,전문,https://app.notion.com/3d1ad79990e681ed9bd4d9c75f69cf73
45,32. Reinforcement Learning-Based Joint Routing and Slot Scheduling for TSN and UAV Integrated Networks,Zemiao Wang; Huiqing Ao; Gang Deng; Gaofeng Nie; Hui Tian,2026,2026 IEEE Wireless Communications and Networking Conference Workshops (WCNCW),https://doi.org/10.1109/WCNCW67598.2026.11555642,https://drive.google.com/file/d/1BOyo55AqBMr5Ep0zcm1vVR8pES0lyEAA/view?usp=drivesdk,"[""PPO""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",,"[""Delay"",""Throughput""]",91,3,낮음,,https://app.notion.com/3d1ad79990e681319485fcb26c6fed19
46,34. A Machine Learning-Based Congestion-Aware Adaptive Routing Protocol for Reliable Communication in Flying Ad Hoc Networks,Raju Singh; Ghanshyam Prasad Dubey,2025,"2025 IEEE 1st International Conference on Smart Innovations in Systems, Infrastructure, Mechanical, Power, AI and Computing Technologies (SISIMPACT)",https://doi.org/10.1109/SISIMPACT67725.2025.11439231,https://drive.google.com/file/d/146SajCPoyfeYcBiRUfGOwhgXTk3JJe2o/view?usp=drivesdk,"[""기타""]","[""Packet routing""]",,"[""PDR"",""Delay"",""Throughput"",""Routing Overhead""]",94,2,매우 낮음,,https://app.notion.com/3d1ad79990e6817bab25ff34d292def0

